TimeSeries ID,value_used_bytes_aggregate resource.namespace_name=kube-system,value_used_bytes_aggregate resource.namespace_name=gmp-system,value_used_bytes_aggregate resource.namespace_name=akoflow
resource.namespace_name,kube-system,gmp-system,akoflow
Fri May 10 2024 00:04:00 GMT-0300 (Horário Padrão de Brasília),305070080,95813632,7221248
Fri May 10 2024 00:05:00 GMT-0300 (Horário Padrão de Brasília),314322944,99328000,16924672
Fri May 10 2024 00:06:00 GMT-0300 (Horário Padrão de Brasília),340992000,105533440,3830218752
Fri May 10 2024 00:07:00 GMT-0300 (Horário Padrão de Brasília),342577152,106135552,4412403712
Fri May 10 2024 00:08:00 GMT-0300 (Horário Padrão de Brasília),341893120,107683840,4547313664
Fri May 10 2024 00:09:00 GMT-0300 (Horário Padrão de Brasília),348917760,104263680,4660834304
Fri May 10 2024 00:10:00 GMT-0300 (Horário Padrão de Brasília),345182208,102309888,4741771264
Fri May 10 2024 00:11:00 GMT-0300 (Horário Padrão de Brasília),347193344,101416960,4923240448
Fri May 10 2024 00:12:00 GMT-0300 (Horário Padrão de Brasília),348250112,101842944,4181671936
Fri May 10 2024 00:13:00 GMT-0300 (Horário Padrão de Brasília),350326784,102150144,4323209216
Fri May 10 2024 00:14:00 GMT-0300 (Horário Padrão de Brasília),346910720,103227392,4383338496
Fri May 10 2024 00:15:00 GMT-0300 (Horário Padrão de Brasília),343478272,103489536,2395357184
Fri May 10 2024 00:16:00 GMT-0300 (Horário Padrão de Brasília),348168192,104075264,4458504192
Fri May 10 2024 00:17:00 GMT-0300 (Horário Padrão de Brasília),355528704,103043072,4557443072
Fri May 10 2024 00:18:00 GMT-0300 (Horário Padrão de Brasília),355037184,102846464,4651819008
Fri May 10 2024 00:19:00 GMT-0300 (Horário Padrão de Brasília),360935424,103395328,4756131840
Fri May 10 2024 00:20:00 GMT-0300 (Horário Padrão de Brasília),356548608,104095744,4827172864
Fri May 10 2024 00:21:00 GMT-0300 (Horário Padrão de Brasília),364838912,106524672,2970497024
Fri May 10 2024 00:22:00 GMT-0300 (Horário Padrão de Brasília),368578560,106119168,3700600832
Fri May 10 2024 00:23:00 GMT-0300 (Horário Padrão de Brasília),364777472,104378368,1758928896
Fri May 10 2024 00:24:00 GMT-0300 (Horário Padrão de Brasília),363888640,102629376,1784365056
Fri May 10 2024 00:25:00 GMT-0300 (Horário Padrão de Brasília),367071232,102367232,2118922240
Fri May 10 2024 00:26:00 GMT-0300 (Horário Padrão de Brasília),367861760,102600704,1991143424
Fri May 10 2024 00:27:00 GMT-0300 (Horário Padrão de Brasília),370339840,103391232,2887294976
Fri May 10 2024 00:28:00 GMT-0300 (Horário Padrão de Brasília),374947840,103755776,2731892736
Fri May 10 2024 00:29:00 GMT-0300 (Horário Padrão de Brasília),369426432,103772160,3093352448
Fri May 10 2024 00:30:00 GMT-0300 (Horário Padrão de Brasília),372355072,104083456,3822952448
Fri May 10 2024 00:31:00 GMT-0300 (Horário Padrão de Brasília),370302976,104476672,4216647680
Fri May 10 2024 00:32:00 GMT-0300 (Horário Padrão de Brasília),373211136,104280064,3994443776
Fri May 10 2024 00:33:00 GMT-0300 (Horário Padrão de Brasília),373833728,102465536,3944497152
Fri May 10 2024 00:34:00 GMT-0300 (Horário Padrão de Brasília),377495552,104923136,3889127424
Fri May 10 2024 00:35:00 GMT-0300 (Horário Padrão de Brasília),373403648,104804352,3105153024
Fri May 10 2024 00:36:00 GMT-0300 (Horário Padrão de Brasília),378400768,105119744,2542776320
Fri May 10 2024 00:37:00 GMT-0300 (Horário Padrão de Brasília),376365056,106168320,2500591616
Fri May 10 2024 00:38:00 GMT-0300 (Horário Padrão de Brasília),377823232,104726528,2207358976
Fri May 10 2024 00:39:00 GMT-0300 (Horário Padrão de Brasília),382132224,102637568,1908764672
Fri May 10 2024 00:40:00 GMT-0300 (Horário Padrão de Brasília),382836736,104509440,1913200640
Fri May 10 2024 00:41:00 GMT-0300 (Horário Padrão de Brasília),400424960,103346176,1727860736
Fri May 10 2024 00:42:00 GMT-0300 (Horário Padrão de Brasília),398028800,103206912,1844518912
Fri May 10 2024 00:43:00 GMT-0300 (Horário Padrão de Brasília),397746176,104407040,2196332544
Fri May 10 2024 00:44:00 GMT-0300 (Horário Padrão de Brasília),405286912,106053632,1923313664
Fri May 10 2024 00:45:00 GMT-0300 (Horário Padrão de Brasília),397799424,104960000,1938935808
Fri May 10 2024 00:46:00 GMT-0300 (Horário Padrão de Brasília),388681728,103108608,1991905280
Fri May 10 2024 00:47:00 GMT-0300 (Horário Padrão de Brasília),399122432,103264256,2093252608
Fri May 10 2024 00:48:00 GMT-0300 (Horário Padrão de Brasília),398159872,103346176,2123243520
Fri May 10 2024 00:49:00 GMT-0300 (Horário Padrão de Brasília),438878208,102309888,2146574336
Fri May 10 2024 00:50:00 GMT-0300 (Horário Padrão de Brasília),430428160,104706048,2231001088
Fri May 10 2024 00:51:00 GMT-0300 (Horário Padrão de Brasília),424861696,104816640,2309038080
Fri May 10 2024 00:52:00 GMT-0300 (Horário Padrão de Brasília),433725440,104423424,2438131712
Fri May 10 2024 00:53:00 GMT-0300 (Horário Padrão de Brasília),442359808,104353792,3097542656
Fri May 10 2024 00:54:00 GMT-0300 (Horário Padrão de Brasília),407527424,105971712,2674642944
Fri May 10 2024 00:55:00 GMT-0300 (Horário Padrão de Brasília),437272576,105840640,11919360
Fri May 10 2024 00:56:00 GMT-0300 (Horário Padrão de Brasília),401145856,107008000,339902464
Fri May 10 2024 00:57:00 GMT-0300 (Horário Padrão de Brasília),403382272,106622976,893497344
Fri May 10 2024 00:58:00 GMT-0300 (Horário Padrão de Brasília),400625664,105566208,160501760
Fri May 10 2024 00:59:00 GMT-0300 (Horário Padrão de Brasília),398565376,105250816,340127744
Fri May 10 2024 01:00:00 GMT-0300 (Horário Padrão de Brasília),411881472,104787968,1178009600
Fri May 10 2024 01:01:00 GMT-0300 (Horário Padrão de Brasília),409915392,104988672,4490366976
Fri May 10 2024 01:02:00 GMT-0300 (Horário Padrão de Brasília),400691200,106078208,945692672
Fri May 10 2024 01:03:00 GMT-0300 (Horário Padrão de Brasília),403824640,105238528,640835584
Fri May 10 2024 01:04:00 GMT-0300 (Horário Padrão de Brasília),405499904,105963520,815124480
Fri May 10 2024 01:05:00 GMT-0300 (Horário Padrão de Brasília),420474880,106340352,4787650560
Fri May 10 2024 01:06:00 GMT-0300 (Horário Padrão de Brasília),412557312,107544576,1025601536
Fri May 10 2024 01:07:00 GMT-0300 (Horário Padrão de Brasília),414859264,108679168,852070400
Fri May 10 2024 01:08:00 GMT-0300 (Horário Padrão de Brasília),416370688,109539328,944836608
Fri May 10 2024 01:09:00 GMT-0300 (Horário Padrão de Brasília),419581952,108994560,1534496768
Fri May 10 2024 01:10:00 GMT-0300 (Horário Padrão de Brasília),419319808,107663360,1064906752
Fri May 10 2024 01:11:00 GMT-0300 (Horário Padrão de Brasília),413491200,107012096,1377689600
Fri May 10 2024 01:12:00 GMT-0300 (Horário Padrão de Brasília),408498176,106192896,1890549760
Fri May 10 2024 01:13:00 GMT-0300 (Horário Padrão de Brasília),409718784,103403520,1638883328
Fri May 10 2024 01:14:00 GMT-0300 (Horário Padrão de Brasília),410722304,104804352,1101664256
Fri May 10 2024 01:15:00 GMT-0300 (Horário Padrão de Brasília),410587136,104988672,1100926976
Fri May 10 2024 01:16:00 GMT-0300 (Horário Padrão de Brasília),414425088,106336256,959438848
Fri May 10 2024 01:17:00 GMT-0300 (Horário Padrão de Brasília),408182784,107003904,959700992
Fri May 10 2024 01:18:00 GMT-0300 (Horário Padrão de Brasília),410214400,106835968,937013248
Fri May 10 2024 01:19:00 GMT-0300 (Horário Padrão de Brasília),409513984,106020864,938303488
Fri May 10 2024 01:20:00 GMT-0300 (Horário Padrão de Brasília),407375872,106446848,941420544
Fri May 10 2024 01:21:00 GMT-0300 (Horário Padrão de Brasília),404905984,106151936,941678592
